,Name,Publisher,Year_of_Release,Game_Age,Genre,Platform,Platform_Launch_Year,Game_released_xYears_after_Platform,Platform_Death,Years_since_Platform_Discontinued,Platform_Lifespan,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4013,Puzzle & Dragons Z + Super Mario Bros. Edition,Nintendo,2015,1,Puzzle,3DS,2011,4,2016,0,5,0.06,0.07,0.34,0.01,0.48
4014,Shrek the Third,Activision,2007,9,Action,PS2,2000,7,2013,3,13,0.4,0.02,0.0,0.07,0.48
4015,Madagascar: Operation Penguin,Activision,2005,11,Action,GBA,2001,4,2010,6,9,0.35,0.13,0.0,0.01,0.48
4016,Need for Speed: Porsche Unleashed,Zoo Digital Publishing,2004,12,Racing,GBA,2001,3,2010,6,9,0.35,0.13,0.0,0.01,0.48
4017,Yu-Gi-Oh! Forbidden Memories (JP sales),Konami Digital Entertainment,1999,17,Role-Playing,PS,1994,5,2000,16,6,0.0,0.0,0.45,0.03,0.48
4018,Far Cry 2,Ubisoft,2008,8,Action,PC,1977,31,2016,0,39,0.01,0.45,0.0,0.03,0.48
4019,NFL Street 2,Electronic Arts,2004,12,Sports,XB,2001,3,2009,7,8,0.36,0.11,0.0,0.02,0.48
4020,Millipede,Atari,1983,33,Shooter,2600,1977,6,1992,24,15,0.45,0.03,0.0,0.01,0.48
4021,The Legend of the Mystical Ninja,Konami Digital Entertainment,1991,25,Adventure,SNES,1990,1,2003,13,13,0.0,0.0,0.48,0.0,0.48
4022,Mad Max (2015),Warner Bros. Interactive Entertainment,2015,1,Action,XOne,2013,2,2016,0,3,0.28,0.16,0.0,0.04,0.48
4023,Rock Band Unplugged,Other,2009,7,Misc,PSP,2004,5,2014,2,10,0.24,0.14,0.0,0.1,0.48
4024,Ultimate I Spy,Other,2008,8,Adventure,Wii,2006,2,2016,0,10,0.45,0.0,0.0,0.03,0.48
4025,Jeopardy!,Atari,2003,13,Misc,PS2,2000,3,2013,3,13,0.24,0.18,0.0,0.06,0.48
4026,Destroy All Humans! 2,THQ,2006,10,Action,PS2,2000,6,2013,3,13,0.4,0.02,0.0,0.07,0.48
4027,Skylanders: SuperChargers,Activision,2015,1,Action,WiiU,2012,3,2016,0,4,0.25,0.19,0.0,0.04,0.48
4028,ECW Hardcore Revolution,Acclaim Entertainment,1999,17,Fighting,PS,1994,5,2000,16,6,0.27,0.18,0.0,0.03,0.48
4029,You're in the Movies,Microsoft Game Studios,2008,8,Misc,X360,2005,3,2016,0,11,0.27,0.17,0.0,0.05,0.48
4030,Cars 2,Disney Interactive Studios,2011,5,Racing,X360,2005,6,2016,0,11,0.28,0.15,0.0,0.05,0.48
4031,Scene It? Lights Camera Action,Microsoft Game Studios,2007,9,Misc,X360,2005,2,2016,0,11,0.43,0.01,0.0,0.04,0.48
4032,MotorStorm: Apocalypse,Sony Computer Entertainment,2011,5,Racing,PS3,2006,5,2016,0,10,0.21,0.19,0.0,0.08,0.48
4033,Dark Sector,D3Publisher,2008,8,Shooter,X360,2005,3,2016,0,11,0.22,0.2,0.01,0.05,0.48
4034,Wu-Tang: Shaolin Style,Activision,1998,18,Fighting,PS,1994,4,2000,16,6,0.27,0.18,0.0,0.03,0.48
